moviename,imdb,beyazperde,rottenttomatoes,value
Measure of a Man,6.3,3.1,52,0
Dude,5.1,3,35,0
Meg: Derinlerdeki Dehşet,5.6,3.5,49,1
Johnny English Tekrar İş Başında,6.2,2.5,37,0
Borç Harç,1.4,2.1,10,1
Benji,6.3,3.1,60,1
Karanlık Zihinler,5.7,3,65,0
Eski Evdeki Büyülü Saat,6,2.8,42,1
Tavşan Peter,6.6,3,70,0
İnanılmaz Aile 2,7.6,4,81,0
Sosyal Hayvanlar,5.3,2.6,56,1
Bağ: Ölümcül Silah,5.8,3,54,0
Happy Anniversary,5.7,2.8,83,1
Fantastik Canavarlar: Grindelwald'in Suçları,6,3.5,36,0
Yakalandın!,6.5,2.4,48,0
Half Magic,4.7,2.3,62,1
Koma,6.3,3.1,74,0
Step Sisters,5.4,2.5,22,1
When We First Met,6.4,3.1,43,0
Kayıp Aranıyor,7.6,4,100,0
Alex Strangelove,6.3,3.1,81,0
Set It Up,6.5,3,92,0
Bohemian Rhapsody,7.9,2.5,60,0
Zeroville,4.5,2.3,23,1
Ibiza,5.2,2.9,67,1
Delidolu,5.9,3.3,64,0
Robin Hood,5.3,3,15,0
Candy Jar,5.8,2.6,71,0
Başlat,7.4,4,87,0
Yenilmezler: Sonsuzluk Savaşı,8.4,4,100,0
Yok Oluş,6.8,3.4,18,0
Küçük Ayak,6.6,3.3,76,0
Rampage: Büyük Yıkım,6.1,3,51,0
Alita: Savaş Meleği,7.3,3,61,0
Ölümcül Makineler,6.1,3.5,68,0
Game Over. Man!,5.4,3.1,18,0
Fırıncının Karısı,2.9,1.8,20,1
Venom: Zehirli Öfke,6.6,3,57,0
Kitap Kulübü,6.1,3,15,0
Mary Poppins: Sihirli Dadı,6.7,3,80,1
Beni Satan Casus,6,3.4,34,0
Under the Silver Lake,6.5,3.2,59,0
Deadpool 2,7.6,3.5,84,0
Labirent: Son İsyan,6.2,3,98,0
Jurassic World: Yıkılmış Krallık,6.1,3.5,47,0
Sar Başa,2.5,3.2,44,1
Edepsiz Kuklalar,5.4,2,63,0
Mogli: Orman Çocuğu,6.5,3.4,80,0
Rounding Third,5.2,2.4,73,0
Transformers: Bumblebee,6.7,2.5,75,0
Dog Days,6.2,3.2,51,0
Dumbo,6.3,3.5,62,0
Enes Batur Gerçek Kahraman,1.4,2.8,14,1
Öldür Beni Sevgilim,4.4,2.7,34,1
Karakomik Filmler: 2 Arada,6.4,3.5,68,0
Cinayet Susu,6.7,3,87,0
Recep İvedik 6,2.9,2.4,35,1
Araf 2,2.8,1.8,41,1
Bir Ask Iki Hayat,6.1,4,26,0
Hep Yek 3: Titrettin Beni,3.8,3.5,38,1
Aykut Enişte,7,3,81,0
Like Father,6.1,3,34,0
Kral Şakir Korsanlar Diyarı,4.9,3.8,46,1
Organize İşler: Sazan Sarmalı,6,3.1,89,0
Cep Herkülü: Naim Süleymanoğlu,8.2,3.5,87,0
7. Koğuştaki Mucize,8.2,3.5,95,0
Hababam Sinifi Yeniden,2.2,1.8,31,1
Mucizeler Parkı,5.8,3,64,0
Rafadan Tayfa Göbeklitepe,5.8,3.4,68,0
Çiçero,6.5,3.5,76,0
Can Dostlar,5.6,3,74,0
Tau,5.8,3.2,69,0
How It Ends,5,2.3,65,0
Uzun Kabus,3.2,2,42,1
Sessiz Kalma,7.5,3,81,0
Mucize 2: Aşk,7.2,3.5,69,0
Tomb Raider,6.3,3.5,76,0
Mamma Mia! Yeniden Başlıyoruz,6.6,3.5,69,0
Grinç,6.4,3.5,86,0
Ayı Paddington 2,7.8,4,46,0
Ocean's 8,6.3,4.4,76,0
X-Men: Yeni Mutantlar,5.3,2.9,71,0
Fındıkkıran ve Dört Diyar,5.6,3,64,0
Sessiz Bir Yer,7.5,4,81,0
Doğruluk mu Cesaret mi?,5.2,1.5,37,0
Ziyaretçiler: Gece Avı,5.2,3,61,0
Oyun Gecesi,6.9,2,83,0
Kırk Yalan,2.2,3,22,1
Black Panther,7.3,4,82,0
Her Gün,6.4,3,74,0
Oyunbozan Ralph II: Ralph ve İnternet,7,3,96,0
Joker,8.4,4,69,0
z,5.5,3.1,97,0
Aladdin,6.9,3,57,0
Parazit,8.5,4.5,99,0
John Wick: Chapter 3 - Parabellum,7.4,4,89,0
Oyuncak Hikayesi 4,7.7,4,98,0
Karlar Ülkesi 2,6.8,4,95,0
vendetta,3.6,2,63,1
the batman,7.8,4,87,1
avatar:suyun yolu,7.7,4.7,92,0
malazgirt 1071,3.7,2.6,36,0
otel transilivanya:transformanya,6,3.6,44,0
masal zamanı,7.9,3.3,75,1
devotion,6.6,3.1,92,0
mahlukat,4.7,2.8,49,0
solo respira,4,2.8,38,1
nightalk,4.1,2.3,38,1
the fish tale,3.6,2.1,33,0
falcon lake,7.2,3.9,70,0
between mountains,7.1,3.2,70,0
uncharted,6.3,3.9,90,1
hellraiser,6.3,2.3,58,0
blonde,5.5,3.1,34,1
blackbird,3,3.2,30,1
dig,4.2,2.2,40,1
luck,6.4,3.7,68,1
The Prey,5.3,3.2,48,0
Monster High,6.7,4.2,80,0
Adanış Kutsal Kavga,5,4.1,63,0
Kirpi Sonic2,6.5,4,96,0
Cadılar Bayramı Sona Eriyor,5,2.8,47,0
Spinning Gold,6.3,3.2,82,0
Hayata Röveşata Çeken Adam,7.5,3.6,72,1
John wick:4,8,3.2,93,0
Firestarter,4.6,2.8,47,0
Shazam! Tanrıların Öfkesi,6,2.8,82,0
Enola Holmes 2,6.7,3.3,79,1
Bıçaklar Çekildi: Gizemli Bir Serüven,7.3,3,68,0
Seriously Red,5.3,2.5,45,0
Çizmeli Kedi: Son Dilek,7.9,3.3,77,1
Brahmastra,5.6,4,69,0
Incantation,6.2,3,62,0
Follow Her,6.4,3.7,90,1
Fabelmanlar,7.6,3.5,74,0
Goliath,6.8,2.8,65,0
As Good As Dead,5.5,2.6,40,0
Sex Appeal,5.3,2.7,58,0
Battle for Saipan,4.7,3.2,89,1
Stalked Within,5.1,2.3,49,1
En Yakın Arkadaşımın Şeytan Çıkarma Ayini,5.3,2.4,46,0
Alemão2,6.2,3.4,58,0
The Forger,6.2,3.9,80,0
My Fake Boyfriend,5.1,2.6,51,1
Blood in the Water,2.7,1.8,29,1
Allegoria,4.4,2.4,50,1
There Are No Saints,4.7,2.2,43,1
Mutsuz Noeller,4.8,2.3,43,0
Rubikon,4.9,3.4,80,1
Butlers in Love,6,3.2,65,0
Leyla'nın Kardeşleri,7.8,4,80,0
The Human Trial,7.6,3.8,95,1
The End of Sex,6.6,4.1,80,0
The Seven Deadly Sins: Grudge of Edinburgh Part 1,5.4,2.9,38,0
The Darker The Lake,3.1,2.1,30,1
The Outfit,7.2,4.3,90,1
The Immaculate Room,5.1,2.6,68,0
Bridge Hollow Laneti,5.5,2.9,55,1
How to Please a Woman,6.2,3.5,60,0
Presence of Love,7,3.5,76,0
Gigi & Nate,6.7,3.8,95,1
Ela ile Hilmi ve Ali,6,3.3,63,0
#Xmas,5.9,2.8,40,0
Apollo 10 1/2: Uzay Çağında Çocuk Olmak,7.2,4,83,1
The Enforcer,5.3,2.6,49,0
Hadi Be,5.3,2.5,51,0
first love,4.7,2.9,37,0
pinokyo,5,3.2,27,0
morbius,5.2,2.6,71,0
broken soldier,3.4,2,21,0
black panther:yaşasın wakanda,6.7,3.3,94,0
müstakbel damat,4.9,3.9,36,0
the gray man,6.5,3.5,90,1
yolun açık olsun,6.5,4.1,62,0
kurak günler,7.8,4,89,0
nalan,3.2,2.2,31,0
deus,4.4,1.8,31,1
black adam,6.3,3,88,0
dilberay,5.9,2.9,53,1
çığlık 6,6.6,3.3,62,0
fantastik canavarlar:dumbledore un sırları,6.2,3,60,0
laal singh chaddtha,5.6,3.3,61,1
kayıp şehir,6.1,3,60,0
killers of the flower moon,9.6,4.1,89,0
Tirailleurs,5.8,2.7,57,0
David Beckham: Infamous,4.5,2.4,47,1
Çilingir Sofrası,6.9,4,65,0
Solgun Dizler,6.3,2.7,62,0
Ayrılma Kararı,7.3,3.8,86,1
The Gallery,7.7,3.9,76,0
Yol Arkadaşım,6.1,3.6,62,0
Killer Rivalry,5.8,2.6,60,1
Masum,5.8,3.3,66,0
Khuda Haafiz Chapter II: Agni Pariksha,7.5,4.6,88,0
Kotaro Lives Alone,8.4,4.6,98,1
Without Ward,4,2.3,44,1
Canavar,5.6,2.6,53,0
Kadın Dedi Ki,7.2,3.3,77,0
Till,7.1,4.4,95,1
Kira & El Gin,8,4.6,82,0
Convenience Store,6.2,3.9,63,0
Servet Operasyonu,6.3,2.8,61,0
Cuando Sea Joven,7.3,4.5,90,1
Dead for A Dollar,5.3,2.4,36,0
Aşıklar Bayramı,5.7,2.7,76,0
Coupez !,6.5,2.8,63,1
Palmyra,5.6,2.5,54,0
Nos frangins,6.4,3.2,63,0
The Offering,5.2,2.5,46,1
Tanrının Unuttuğu Yer,7.2,3.3,71,0
R.I.P.D. 2: Rise of the Damned,4.6,2.2,28,1
Lapham Rising,4.3,2,36,1
Blowback,4.3,2.2,42,1
A Prisoner's Daughter,7.7,3.2,78,0
Vahşi Gece,6.7,2.5,63,1
Let's Tie the Knot Honey!,5.4,2.6,56,0
The Curious Case of Dolphin Bay,4.7,2.2,46,1
Little Ukraine,4.2,2.1,40,1
Yaşlılar,5.1,2.9,56,1
About Joan,6,2.7,61,0
The Last Mark,4.5,2.4,43,0
Strong Fathers Strong Daughters,5.7,2.6,55,0
Cadaver,6.5,2.8,66,0
Derin Sular,5.4,3.2,55,1
Big Trip 2: Special Delivery,4.7,2.4,46,0
Recep İvedik 7,5.2,2.4,52 ,1
Blowback, 4.3,2.4,42,1
Prisoner’s Daughter,7.7,4.1,76,0
Violent Night,6.7,3,75,1
Old People,5.1,3,56,0
The Last Mark,4.5,2.4,47,1
Deep Water,5.4,3.1,55,1
Showing Up,7.1,3.5,57,0
Les Passagers De La Nuit,6.9,3.8,74,0
The İnspection,6.7,4.1,89,0
Bruiser,6,3.2,75,0
Escape From Love,5.4,2.6,55,1
Dog,6.5,3.9,72,0
You Won’t Be Alone,6.3,4.2,69,0
Taylor Tomlison: Look at You,7.4,4.5,85,1
Aftersun,7.7,4.6,81,0
Chemi Otakhi,6.9,3.5,70,0
13: The Musical,5.3,2.9,43,0
The New Toy,6,2.9,59,0
Semur 3: Kıyameti Cin,4,2.4,48,1
For Jojo,4,3,25,1
The Claus Family:3,4.3,2.3,42,1
Astolfo,6.7,3.9,70,0
Korku Takvimi,5.8,3.8,64,1
Nothing is İmpossible,5.2,2.6,53,0
Menteur,5,2.4,50,1
Manifest Evil,3.6,1.9,31,1
That’s Amor,5.3,2.4,49,0
Continue,7.5,3.6,72,0
Purple Hearts,6.7,3.5,69,0
Axiom,6.6,2.7,65,0
Revolta,6,2.6,61,0
No Bears,7.4,4.5,83,0
Godse,5.7,2.6,53,0
Çirkin Şansı,3.3,2.3,38,1
La Petite Bende,6.3,2.9,61,0
Jentetur,5.2,2.5,52,0
Merkel,6.9,3.5,71,0
Sanctuary,8,4.8,90,0
Father Stu,6.5,4.2,90,0
The İnvitation,5.3,3.5,59,0
Not My Type,5.8,2.6,57,0
The Kasmir Files,8.7,4.8,92,0
Purification Session,5.8,2.7,56,0
Feed,5.1,2.6,52,1
Student Body,4.6,2.3,41,0
